team_name,conference,team_id,conference_id,division,player_id,player_name,year,position,IP,ER,HR_Allowed,TBF,BB,K,K_Rate,BB_Rate,K_Minus_BB,K_Div_BB,FIP_No_Constant,GO,FO
A&M-Corpus Christi,Southland,26172,914,1,2815465,"Dean, Austin",Jr,P,22.666666666666668,9,3,113,10,18,0.1592920353982301,0.08849557522123894,0.07079646017699115,1.8,2.1176470588235294,15,31
A&M-Corpus Christi,Southland,26172,914,1,2815462,"Hendricks, Evans",Jr,P,42.333333333333336,17,2,186,18,49,0.26344086021505375,0.0967741935483871,0.16666666666666666,2.7222222222222223,-0.21259842519685038,39,34
A&M-Corpus Christi,Southland,26172,914,1,2654218,"Garcia, Zach",So,P,59.666666666666664,40,6,291,35,62,0.21305841924398625,0.12027491408934708,0.09278350515463916,1.7714285714285714,1.2905027932960895,48,61
A&M-Corpus Christi,Southland,26172,914,1,2815315,"Watson, Matthew",So,P,78.33333333333333,48,9,360,33,54,0.15,0.09166666666666666,0.058333333333333334,1.6363636363636365,2.068085106382979,79,90
A&M-Corpus Christi,Southland,26172,914,1,2320577,"Ramirez Jr., Jaime",Jr,P,26.666666666666668,22,5,127,12,17,0.13385826771653545,0.09448818897637795,0.039370078740157494,1.4166666666666667,3.0749999999999997,24,32
A&M-Corpus Christi,Southland,26172,914,1,2139619,"Thomas, Hayden",Sr,P,50.666666666666664,32,9,242,19,57,0.23553719008264462,0.07851239669421488,0.15702479338842973,3,1.6578947368421053,45,42
A&M-Corpus Christi,Southland,26172,914,1,2492968,"Purcell, Colin",Jr,P,81.66666666666667,37,3,352,22,63,0.17897727272727273,0.0625,0.11647727272727273,2.8636363636363638,-0.03673469387755102,74,98
A&M-Corpus Christi,Southland,26172,914,1,2654194,"Gutierrez, Marco",So,P,18.333333333333332,10,0,93,14,13,0.13978494623655913,0.15053763440860216,-0.010752688172043029,0.9285714285714285,1.3636363636363638,21,18
A&M-Corpus Christi,Southland,26172,914,1,2654214,"Dickey, Kyle",So,P,19,19,5,92,11,17,0.18478260869565216,0.11956521739130435,0.06521739130434781,1.5454545454545454,3.526315789473684,12,23
A&M-Corpus Christi,Southland,26172,914,1,2815444,"Feltz, Samuel",Jr,P,12.333333333333334,8,0,63,7,11,0.1746031746031746,0.1111111111111111,0.06349206349206349,1.5714285714285714,0.16216216216216214,13,11
A&M-Corpus Christi,Southland,26172,914,1,2691907,"Sieve, Sean",Jr,p,8,10,0,43,9,8,0.18604651162790697,0.20930232558139536,-0.023255813953488386,0.8888888888888888,2.125,8,4
A&M-Corpus Christi,Southland,26172,914,1,2815450,"Burchett, James",Jr,P,8,14,0,49,11,7,0.14285714285714285,0.22448979591836735,-0.0816326530612245,0.6363636363636364,2.75,7,9
